game_id,date,team_1,team_2,game_number,team_winner,patch_version,team_1_ban_1,team_1_ban_2,team_1_ban_3,team_1_ban_4,team_1_ban_5,team_2_ban_1,team_2_ban_2,team_2_ban_3,team_2_ban_4,team_2_ban_5,team_1_pick_1,team_1_pick_2,team_1_pick_3,team_1_pick_4,team_1_pick_5,team_2_pick_1,team_2_pick_2,team_2_pick_3,team_2_pick_4,team_2_pick_5,season
18,11-Aug-2024,geek,dewa,1,dewa,1.9.06,edith,valentina,hayabusa,moskov,julian,chip,helcurt,ling,arlott,tigreal,zhuxin,harith,fanny,khufra,gloo,ruby,roger,aurora,terizla,alpha,14
19,11-Aug-2024,dewa,geek,2,dewa,1.9.06,helcurt,ruby,ling,harith,moskov,chip,valentina,hylos,fanny,julian,edith,aurora,roger,chou,alpha,zhuxin,hayabusa,arlott,terizla,claude,14
20,16-Aug-2024,rbl,rrq,1,rrq,1.9.06,zhuxin,fanny,ruby,harith,arlott,chip,ling,hayabusa,hylos,tigreal,zhask,moskov,julian,terizla,gloo,roger,edith,aurora,franco,natan,14
21,16-Aug-2024,rbl,rrq,2,rrq,1.9.06,zhuxin,fanny,roger,moskov,harith,chip,ling,hayabusa,tigreal,hylos,zhask,julian,terizla,beatrix,kaja,aurora,edith,alpha,natan,khufra,14
22,16-Aug-2024,evos,tlid,1,tlid,1.9.06,fanny,ruby,julian,karrie,nolan,chip,ling,valentina,zhuxin,aurora,hayabusa,harith,hylos,jawhead,vexana,edith,zhask,x.borg,moskov,mathilda,14
23,16-Aug-2024,tlid,evos,2,evos,1.9.06,ruby,hayabusa,khufra,alpha,nolan,chip,ling,valentina,roger,tigreal,fanny,zhuxin,hylos,harith,chou,edith,moskov,zhask,gloo,lancelot,14
24,16-Aug-2024,evos,tlid,3,tlid,1.9.06,fanny,julian,moskov,mathilda,gloo,chip,ling,valentina,harith,roger,hayabusa,aurora,hylos,claude,jawhead,edith,zhask,karrie,minotaur,joy,14
25,17-Aug-2024,btr,ae,1,btr,1.9.06,zhuxin,hayabusa,moskov,arlott,minotaur,chip,ling,fanny,cici,x.borg,ruby,harith,valentina,benedetta,grock,roger,zhask,hylos,tigreal,lunox,14
26,17-Aug-2024,btr,ae,2,btr,1.9.06,zhuxin,hayabusa,moskov,minotaur,khufra,chip,ling,fanny,alpha,benedetta,ruby,arlott,harith,luo yi,x.borg,roger,valentina,hylos,tigreal,claude,14
27,17-Aug-2024,fnoc,rrq,1,rrq,1.9.06,zhuxin,edith,aurora,faramis,vexana,chip,ling,fanny,hylos,tigreal,zhask,hayabusa,claude,gloo,chou,ruby,harith,roger,valentina,thamuz,14
28,17-Aug-2024,rrq,fnoc,2,rrq,1.9.06,fanny,hayabusa,valentina,moskov,tigreal,chip,ling,zhuxin,natan,harith,roger,ruby,luo yi,nolan,terizla,edith,zhask,julian,claude,arlott,14
29,17-Aug-2024,geek,evos,1,geek,1.9.06,zhuxin,hylos,hayabusa,valentina,zhask,chip,helcurt,moskov,vexana,faramis,ling,ruby,harith,luo yi,terizla,khufra,roger,fanny,aurora,edith,14
30,17-Aug-2024,evos,geek,2,evos,1.9.06,helcurt,fanny,hylos,moskov,roger,chip,ling,hayabusa,lancelot,x.borg,zhask,tigreal,harith,alpha,barats,ruby,terizla,vexana,nolan,natan,14
31,17-Aug-2024,evos,geek,3,geek,1.9.06,helcurt,fanny,faramis,zhuxin,aurora,chip,ling,tigreal,alpha,hayabusa,zhask,karrie,franco,terizla,nolan,hylos,harith,ruby,roger,vexana,14
32,18-Aug-2024,dewa,btr,1,btr,1.9.06,fanny,ruby,harith,moskov,claude,chip,ling,hylos,alpha,terizla,roger,zhuxin,chou,natan,khufra,arlott,valentina,hayabusa,mathilda,bruno,14
33,18-Aug-2024,btr,dewa,2,btr,1.9.06,hylos,zhuxin,ruby,tigreal,angela,chip,ling,fanny,moskov,mathilda,valentina,arlott,roger,yu zhong,x.borg,harith,terizla,alpha,chou,yve,14
34,18-Aug-2024,fnoc,ae,1,fnoc,1.9.06,zhuxin,fanny,roger,moskov,claude,chip,ling,hayabusa,aurora,valentina,harith,nolan,tigreal,faramis,edith,ruby,zhask,alpha,karrie,benedetta,14
35,18-Aug-2024,ae,fnoc,2,fnoc,1.9.06,fanny,zhuxin,harith,luo yi,faramis,chip,ling,zhask,tigreal,hylos,roger,ruby,valentina,chou,lancelot,hayabusa,edith,moskov,aurora,minotaur,14
36,18-Aug-2024,tlid,rbl,1,tlid,1.9.06,julian,hayabusa,zhuxin,nolan,valentina,ling,fanny,chip,harith,joy,zhask,roger,edith,mathilda,x.borg,terizla,moskov,grock,alpha,yve,14
37,18-Aug-2024,rbl,tlid,2,tlid,1.9.06,fanny,moskov,zhuxin,minotaur,x.borg,chip,ling,zhask,luo yi,aurora,hayabusa,khufra,roger,lunox,gloo,valentina,edith,karrie,terizla,joy,14
38,23-Aug-2024,fnoc,geek,1,geek,1.9.06,helcurt,harith,chip,ruby,jawhead,fanny,arlott,zhuxin,tigreal,khufra,ling,vexana,hylos,bruno,terizla,roger,valentina,chou,natalia,moskov,14
39,23-Aug-2024,geek,fnoc,2,fnoc,1.9.06,fanny,hayabusa,zhuxin,zhask,luo yi,chip,helcurt,natalia,claude,tigreal,ling,edith,valentina,kaja,lunox,roger,harith,ruby,aurora,arlott,14
40,23-Aug-2024,fnoc,geek,3,geek,1.9.06,helcurt,natalia,harith,saber,mathilda,fanny,arlott,chip,claude,terizla,ling,edith,valentina,grock,clint,roger,ruby,zhask,moskov,thamuz,14
41,23-Aug-2024,dewa,rbl,1,dewa,1.9.06,julian,zhuxin,zhask,barats,luo yi,chip,ling,roger,harith,grock,valentina,fanny,edith,jawhead,claude,hayabusa,moskov,khufra,ruby,nana,14
42,23-Aug-2024,rbl,dewa,2,dewa,1.9.06,fanny,ling,ruby,jawhead,chou,chip,zhask,hayabusa,julian,nolan,zhuxin,roger,arlott,joy,kaja,moskov,edith,aurora,mathilda,x.borg,14
43,24-Aug-2024,geek,btr,1,geek,1.9.06,fanny,ruby,valentina,luo yi,mathilda,chip,helcurt,ling,kaja,tigreal,roger,zhask,edith,lunox,terizla,harith,hayabusa,arlott,jawhead,aurora,14
44,24-Aug-2024,btr,geek,2,btr,1.9.06,helcurt,roger,valentina,arlott,tigreal,fanny,chip,harith,bruno,karrie,ling,jawhead,faramis,beatrix,edith,zhask,ruby,moskov,nolan,thamuz,14
45,24-Aug-2024,geek,btr,3,geek,1.9.06,fanny,ruby,valentina,luo yi,vexana,chip,helcurt,ling,kaja,tigreal,roger,lunox,edith,terizla,faramis,hayabusa,harith,jawhead,zhask,barats,14
46,24-Aug-2024,evos,ae,1,evos,1.9.06,hayabusa,fanny,ruby,cici,harith,chip,ling,zhuxin,alpha,bane,zhask,hylos,moskov,julian,jawhead,roger,edith,aurora,nolan,chou,14
47,24-Aug-2024,ae,evos,2,ae,1.9.06,hylos,ruby,moskov,julian,tigreal,chip,ling,zhuxin,terizla,fanny,roger,aurora,jawhead,hayabusa,phoveus,valentina,edith,harith,mathilda,bane,14
48,24-Aug-2024,evos,ae,3,evos,1.9.06,hayabusa,fanny,ruby,julian,nolan,chip,ling,hylos,mathilda,tigreal,zhuxin,moskov,terizla,bane,akai,roger,jawhead,faramis,harith,edith,14
49,24-Aug-2024,dewa,tlid,1,tlid,1.9.06,zhuxin,fanny,zhask,vexana,faramis,chip,valentina,edith,jawhead,chou,ling,aurora,ruby,roger,terizla,harith,hylos,nolan,phoveus,yve,14
50,24-Aug-2024,dewa,tlid,2,tlid,1.9.06,zhuxin,zhask,fanny,phoveus,tigreal,chip,valentina,hylos,terizla,moskov,ling,aurora,jawhead,arlott,roger,edith,harith,nolan,faramis,chou,14
51,25-Aug-2024,rbl,ae,1,ae,1.9.06,fanny,hayabusa,zhuxin,harith,natan,chip,ling,ruby,cici,x.borg,zhask,moskov,edith,joy,grock,hylos,roger,aurora,nolan,chou,14
52,25-Aug-2024,rbl,ae,2,rbl,1.9.06,fanny,hayabusa,hylos,nolan,harith,chip,ling,zhuxin,minotaur,tigreal,zhask,edith,moskov,jawhead,julian,ruby,roger,aurora,chou,claude,14
53,25-Aug-2024,ae,rbl,3,ae,1.9.06,ruby,zhask,zhuxin,x.borg,cici,ling,chip,hayabusa,chou,kaja,hylos,luo yi,nolan,tigreal,roger,jawhead,moskov,valentina,terizla,julian,14
54,25-Aug-2024,tlid,rrq,1,rrq,1.9.06,ruby,roger,edith,aurora,hayabusa,chip,fanny,ling,mathilda,moskov,zhask,terizla,nolan,karrie,jawhead,hylos,harith,arlott,zhuxin,lancelot,14
55,25-Aug-2024,tlid,rrq,2,rrq,1.9.06,ruby,roger,harith,alpha,arlott,chip,fanny,ling,mathilda,chou,zhask,moskov,edith,joy,terizla,hylos,aurora,natan,nolan,barats,14
56,25-Aug-2024,btr,evos,1,evos,1.9.06,zhuxin,zhask,hylos,roger,arlott,chip,ling,ruby,tigreal,terizla,valentina,moskov,fanny,edith,grock,jawhead,julian,vexana,phoveus,brody,14
57,25-Aug-2024,btr,evos,2,btr,1.9.06,zhuxin,hylos,jawhead,tigreal,akai,chip,ruby,fanny,terizla,luo yi,ling,arlott,harith,zhask,lolita,roger,valentina,phoveus,franco,julian,14
58,25-Aug-2024,btr,evos,3,btr,1.9.06,zhuxin,hylos,jawhead,minotaur,tigreal,chip,ruby,ling,zhask,luo yi,arlott,roger,mathilda,alpha,lunox,valentina,moskov,phoveus,akai,bane,14
59,30-Aug-2024,fnoc,dewa,1,fnoc,1.9.06,fanny,zhuxin,harith,nolan,joy,chip,ling,roger,faramis,valentina,hayabusa,hylos,moskov,terizla,lylia,edith,zhask,karrie,julian,chou,14
60,30-Aug-2024,fnoc,dewa,2,dewa,1.9.06,fanny,zhuxin,zhask,phoveus,kaja,chip,ling,roger,arlott,faramis,harith,nolan,chou,kadita,edith,hayabusa,hylos,lunox,valentina,tigreal,14
61,30-Aug-2024,fnoc,dewa,3,fnoc,1.9.06,fanny,zhuxin,hylos,valentina,phoveus,chip,ling,roger,chou,terizla,harith,faramis,nolan,grock,tigreal,edith,hayabusa,lunox,arlott,lylia,14
62,30-Aug-2024,btr,rbl,1,btr,1.9.06,hylos,zhuxin,hayabusa,faramis,vexana,chip,ling,harith,nolan,edith,zhask,moskov,arlott,khufra,alpha,fanny,ruby,roger,valentina,tigreal,14
63,30-Aug-2024,rbl,btr,2,rbl,1.9.06,fanny,ruby,hayabusa,roger,hylos,chip,ling,moskov,nolan,mathilda,zhask,lunox,phoveus,jawhead,benedetta,harith,arlott,lylia,alpha,yu zhong,14
64,30-Aug-2024,btr,rbl,3,btr,1.9.06,hylos,zhuxin,hayabusa,faramis,phoveus,chip,ling,fanny,lunox,mathilda,zhask,roger,ruby,kaja,beatrix,jawhead,benedetta,harith,terizla,aurora,14
65,31-Aug-2024,geek,tlid,1,geek,1.9.06,fanny,zhuxin,ling,edith,x.borg,roger,helcurt,chip,phoveus,faramis,hylos,moskov,julian,vexana,gatotkaca,jawhead,harith,nolan,terizla,zhask,14
66,31-Aug-2024,geek,tlid,2,tlid,1.9.06,fanny,zhuxin,ling,mathilda,chou,chip,roger,helcurt,moskov,valentina,hylos,gatotkaca,julian,claude,vexana,harith,terizla,nolan,faramis,carmilla,14
67,31-Aug-2024,tlid,geek,3,tlid,1.9.06,helcurt,gatotkaca,roger,faramis,vexana,fanny,chip,ling,harith,karrie,hylos,nolan,zhuxin,natan,carmilla,moskov,phoveus,julian,valentina,lolita,14
68,31-Aug-2024,btr,fnoc,1,fnoc,1.9.06,zhask,phoveus,hylos,arlott,jawhead,chip,zhuxin,roger,moskov,kaja,valentina,ruby,ling,edith,beatrix,fanny,harith,faramis,grock,barats,14
69,31-Aug-2024,fnoc,btr,2,btr,1.9.06,harith,zhuxin,hylos,barats,moskov,chip,phoveus,grock,tigreal,roger,fanny,faramis,terizla,brody,jawhead,zhask,ruby,ling,arlott,clint,14
70,31-Aug-2024,btr,fnoc,3,fnoc,1.9.06,phoveus,grock,harith,beatrix,lolita,chip,zhuxin,zhask,lylia,barats,ruby,moskov,ling,jawhead,luo yi,fanny,hylos,faramis,arlott,roger,14
71,31-Aug-2024,ae,rrq,1,rrq,1.9.06,zhuxin,roger,hylos,x.borg,thamuz,chip,fanny,ling,chou,tigreal,phoveus,zhask,hayabusa,minotaur,claude,ruby,harith,alpha,faramis,edith,14
72,31-Aug-2024,ae,rrq,2,ae,1.9.06,zhuxin,roger,harith,karrie,edith,chip,ling,fanny,chou,tigreal,hylos,luo yi,nolan,phoveus,lunox,ruby,zhask,hayabusa,arlott,clint,14
73,31-Aug-2024,ae,rrq,3,rrq,1.9.06,roger,harith,zhuxin,jawhead,cici,chip,ling,fanny,phoveus,tigreal,hylos,nolan,zhask,hanabi,lolita,edith,aurora,julian,franco,beatrix,14
74,1-Sep-2024,rbl,evos,1,rbl,1.9.06,hylos,hayabusa,fanny,aurora,valentina,chip,ling,zhuxin,tigreal,chou,zhask,edith,roger,benedetta,phoveus,jawhead,julian,moskov,vexana,arlott,14
75,1-Sep-2024,evos,rbl,2,rbl,1.9.06,hayabusa,fanny,zhask,chou,tigreal,chip,ling,hylos,claude,x.borg,zhuxin,jawhead,julian,moskov,arlott,roger,phoveus,yve,edith,benedetta,14
76,1-Sep-2024,geek,rrq,1,rrq,1.9.06,ruby,harith,zhuxin,franco,hanabi,chip,helcurt,roger,moskov,tigreal,hylos,vexana,ling,karrie,gatotkaca,aurora,phoveus,alpha,edith,bruno,14
77,1-Sep-2024,rrq,geek,2,geek,1.9.06,helcurt,roger,gatotkaca,ruby,lolita,chip,harith,zhuxin,arlott,franco,hylos,julian,valentina,claude,minsitthar,vexana,phoveus,nolan,moskov,terizla,14
78,1-Sep-2024,rrq,geek,3,rrq,1.9.06,helcurt,roger,hylos,natalia,moskov,chip,harith,zhuxin,alpha,hayabusa,phoveus,valentina,grock,ling,beatrix,vexana,edith,nolan,bruno,gatotkaca,14
79,1-Sep-2024,ae,dewa,1,ae,1.9.06,zhuxin,edith,hylos,tigreal,grock,chip,ling,phoveus,roger,terizla,fanny,jawhead,luo yi,harith,arlott,valentina,ruby,moskov,julian,barats,14
80,1-Sep-2024,ae,dewa,2,ae,1.9.06,zhuxin,edith,hylos,aurora,faramis,chip,ling,fanny,lunox,tigreal,phoveus,zhask,roger,chou,lancelot,terizla,hayabusa,harith,jawhead,valentina,14
81,6-Sep-2024,geek,rbl,1,geek,1.9.06,hayabusa,benedetta,zhuxin,terizla,x.borg,chip,helcurt,roger,valentina,vexana,phoveus,alpha,moskov,faramis,ruby,zhask,edith,karrie,julian,akai,14
82,6-Sep-2024,rbl,geek,2,geek,1.9.06,hylos,helcurt,roger,faramis,ruby,chip,phoveus,zhuxin,lolita,harith,zhask,hayabusa,arlott,akai,karrie,moskov,edith,julian,aurora,grock,14
83,6-Sep-2024,evos,fnoc,1,fnoc,1.9.06,hayabusa,faramis,zhask,luo yi,ruby,chip,zhuxin,roger,harith,lolita,phoveus,valentina,nolan,claude,tigreal,julian,hylos,karrie,vexana,terizla,14
84,6-Sep-2024,evos,fnoc,2,fnoc,1.9.06,hayabusa,faramis,zhask,julian,alpha,chip,zhuxin,hylos,vexana,aurora,phoveus,tigreal,nolan,lunox,angela,roger,jawhead,valentina,terizla,ruby,14
85,7-Sep-2024,dewa,rrq,1,dewa,1.9.06,roger,zhuxin,ruby,terizla,edith,chip,ling,fanny,chou,jawhead,phoveus,hayabusa,lunox,gatotkaca,vexana,harith,hylos,alpha,angela,tigreal,14
86,7-Sep-2024,rrq,dewa,2,rrq,1.9.06,fanny,hylos,hayabusa,harith,lolita,chip,roger,phoveus,ruby,beatrix,zhuxin,julian,edith,franco,karrie,chou,ling,aurora,arlott,lunox,14
87,7-Sep-2024,dewa,rrq,3,rrq,1.9.06,roger,zhuxin,ruby,alpha,nolan,chip,fanny,ling,lolita,hylos,phoveus,moskov,julian,gatotkaca,aurora,edith,vexana,natan,fredrinn,yu zhong,14
88,7-Sep-2024,ae,tlid,1,tlid,1.9.06,zhuxin,edith,harith,moskov,mathilda,chip,ling,fanny,tigreal,jawhead,phoveus,roger,zhask,grock,lancelot,vexana,hylos,alpha,lolita,natan,14
89,7-Sep-2024,tlid,ae,2,tlid,1.9.06,roger,zhask,phoveus,khufra,ruby,chip,zhuxin,hylos,lolita,faramis,fanny,harith,terizla,aurora,chou,vexana,edith,ling,moskov,tigreal,14
90,7-Sep-2024,btr,evos,1,btr,1.9.06,zhuxin,ling,hylos,jawhead,harith,chip,valentina,arlott,edith,ruby,phoveus,roger,zhask,bane,tigreal,nolan,terizla,faramis,lunox,franco,14
91,7-Sep-2024,btr,evos,2,btr,1.9.06,zhuxin,ling,hylos,alpha,bane,chip,valentina,faramis,aurora,luo yi,phoveus,ruby,nolan,harith,lunox,roger,zhask,tigreal,terizla,natan,14
92,8-Sep-2024,ae,rbl,1,ae,1.9.06,zhuxin,zhask,hylos,faramis,grock,chip,fanny,hayabusa,harith,chou,phoveus,vexana,ling,moskov,tigreal,edith,alpha,roger,yve,akai,14
93,8-Sep-2024,rbl,ae,2,ae,1.9.06,fanny,hayabusa,hylos,chou,harith,chip,zhuxin,phoveus,tigreal,grock,zhask,moskov,edith,arlott,julian,ling,aurora,terizla,jawhead,karrie,14
94,8-Sep-2024,geek,fnoc,1,geek,1.9.06,fanny,hayabusa,zhuxin,terizla,karrie,chip,helcurt,roger,faramis,ruby,phoveus,nolan,moskov,grock,vexana,julian,hylos,zhask,brody,lolita,14
95,8-Sep-2024,geek,fnoc,2,geek,1.9.06,fanny,hayabusa,zhuxin,terizla,kaja,chip,helcurt,roger,zhask,faramis,phoveus,nolan,moskov,mathilda,yve,julian,hylos,karrie,vexana,chou,14
96,8-Sep-2024,dewa,tlid,1,tlid,1.9.06,fanny,zhuxin,harith,lolita,mathilda,chip,ling,hylos,gatotkaca,aurora,phoveus,moskov,julian,lylia,edith,vexana,terizla,alpha,carmilla,natan,14
97,8-Sep-2024,tlid,dewa,2,dewa,1.9.06,zhuxin,hayabusa,phoveus,nolan,roger,chip,fanny,hylos,faramis,lolita,ling,harith,terizla,angela,aurora,vexana,gatotkaca,lunox,arlott,alpha,14
98,8-Sep-2024,dewa,tlid,3,tlid,1.9.06,fanny,zhuxin,phoveus,faramis,carmilla,chip,ling,hayabusa,lunox,arlott,vexana,alpha,gatotkaca,edith,karrie,nolan,hylos,harith,yve,lolita,14
99,13-Sep-2024,btr,dewa,1,btr,1.9.06,hylos,hayabusa,gatotkaca,vexana,mathilda,chip,ling,fanny,valentina,ruby,phoveus,nolan,lunox,yve,grock,harith,edith,alpha,zhuxin,terizla,14
100,13-Sep-2024,btr,dewa,2,dewa,1.9.06,gatotkaca,hayabusa,hylos,vexana,mathilda,chip,fanny,ling,yve,zhuxin,phoveus,nolan,lunox,khufra,zhask,harith,terizla,alpha,valentina,carmilla,14
101,13-Sep-2024,btr,dewa,3,btr,1.9.06,hylos,harith,alpha,valentina,carmilla,chip,fanny,ling,zhuxin,yve,phoveus,roger,mathilda,hayabusa,zhask,terizla,moskov,julian,vexana,gatotkaca,14
102,13-Sep-2024,rbl,tlid,1,tlid,1.9.06,fanny,nolan,ling,tigreal,carmilla,chip,zhask,moskov,natan,harith,hayabusa,zhuxin,edith,kaja,karrie,vexana,phoveus,roger,hylos,ruby,14
103,13-Sep-2024,rbl,tlid,2,rbl,1.9.06,fanny,nolan,ling,mathilda,joy,chip,zhask,moskov,natan,harith,hayabusa,yve,edith,karrie,carmilla,roger,phoveus,vexana,hylos,julian,14
104,13-Sep-2024,rbl,tlid,3,tlid,1.9.06,fanny,nolan,ling,natan,harith,chip,zhask,hayabusa,moskov,lunox,edith,alpha,mathilda,novaria,karrie,hylos,yve,roger,ruby,arlott,14
105,14-Sep-2024,evos,dewa,1,dewa,1.9.06,hylos,zhuxin,alpha,grock,terizla,chip,ling,phoveus,tigreal,vexana,edith,lunox,fanny,zhask,chou,valentina,harith,hayabusa,gatotkaca,arlott,14
106,14-Sep-2024,dewa,evos,2,dewa,1.9.06,ling,hylos,zhuxin,yu zhong,vexana,chip,phoveus,harith,arlott,gatotkaca,valentina,alpha,moskov,mathilda,terizla,roger,ruby,nolan,tigreal,lunox,14
107,14-Sep-2024,ae,geek,1,ae,1.9.06,helcurt,roger,hylos,mathilda,faramis,fanny,hayabusa,zhuxin,alpha,ling,chip,edith,vexana,julian,karrie,nolan,phoveus,moskov,luo yi,grock,14
108,14-Sep-2024,geek,ae,2,geek,1.9.06,fanny,hayabusa,zhuxin,karrie,claude,chip,helcurt,roger,mathilda,faramis,phoveus,moskov,nolan,terizla,yve,hylos,vexana,julian,lolita,hanabi,14
109,14-Sep-2024,ae,geek,3,geek,1.9.06,helcurt,roger,hylos,mathilda,moskov,fanny,hayabusa,zhuxin,julian,alpha,chip,edith,vexana,bane,harith,nolan,phoveus,faramis,ruby,lunox,14
110,14-Sep-2024,rrq,fnoc,1,rrq,1.9.06,fanny,faramis,hylos,luo yi,terizla,chip,zhuxin,phoveus,nolan,fredrinn,edith,valentina,harith,ruby,ling,chou,roger,lunox,vexana,gatotkaca,14
111,14-Sep-2024,fnoc,rrq,2,rrq,1.9.06,zhask,phoveus,aurora,ling,natan,chip,fanny,hayabusa,harith,lolita,zhuxin,nolan,chou,arlott,karrie,roger,edith,yve,mathilda,ixia,14
112,15-Sep-2024,ae,evos,1,ae,1.9.06,zhuxin,hylos,harith,grock,terizla,chip,phoveus,roger,brody,ruby,edith,luo yi,ling,khufra,clint,valentina,moskov,fanny,lolita,arlott,14
113,15-Sep-2024,ae,evos,2,ae,1.9.06,zhuxin,hylos,harith,nolan,alpha,chip,phoveus,ling,luo yi,vexana,fanny,terizla,moskov,jawhead,aurora,valentina,edith,roger,mathilda,ruby,14
114,15-Sep-2024,tlid,fnoc,1,tlid,1.9.06,hayabusa,phoveus,faramis,gatotkaca,luo yi,chip,fanny,zhuxin,tigreal,yve,hylos,harith,nolan,arlott,vexana,edith,roger,lunox,kaja,valentina,14
115,15-Sep-2024,tlid,fnoc,2,tlid,1.9.06,hayabusa,phoveus,faramis,yve,zhuxin,chip,fanny,nolan,edith,ruby,hylos,harith,alpha,angela,chou,ling,roger,terizla,mathilda,valentina,14
116,15-Sep-2024,btr,rrq,1,btr,1.9.06,hylos,edith,alpha,franco,kaja,chip,ling,harith,brody,valentina,phoveus,roger,mathilda,faramis,nolan,vexana,terizla,fanny,ruby,melissa,14
117,15-Sep-2024,btr,rrq,2,rrq,1.9.06,hylos,edith,phoveus,jawhead,x.borg,chip,mathilda,ling,tigreal,lolita,ruby,zhask,hayabusa,masha,grock,aurora,harith,roger,gatotkaca,uranus,14
118,15-Sep-2024,btr,rrq,3,rrq,1.9.06,hylos,edith,phoveus,fredrinn,alpha,chip,mathilda,ling,luo yi,zhuxin,ruby,fanny,roger,lunox,khufra,gatotkaca,harith,valentina,arlott,bane,14
119,20-Sep-2024,geek,dewa,1,geek,1.9.20,fanny,hayabusa,valentina,gatotkaca,tigreal,chip,helcurt,phoveus,grock,yve,edith,lunox,nolan,ruby,faramis,harith,arlott,alpha,vexana,hylos,14
120,20-Sep-2024,dewa,geek,2,geek,1.9.20,helcurt,nolan,chip,moskov,faramis,fanny,hayabusa,phoveus,gatotkaca,mathilda,edith,alpha,harith,valentina,carmilla,julian,terizla,ruby,yve,claude,14
121,20-Sep-2024,tlid,btr,1,tlid,1.9.20,mathilda,zhask,alpha,yve,ruby,chip,fanny,phoveus,lunox,faramis,hylos,nolan,arlott,aurora,alice,harith,ling,gatotkaca,vexana,chou,14
